Room,🏢,Overall,🌄,🔌,🪑,#,,📽,Notes,apiNamen
M1222B,Maskin,"3,4",3,4,4,4,2,FALSE,"Ganska average för att vara maskin, fönster till trafikerad korridor men ganska ljudisolarat"
SB-G502,SB,"3,4",4,5,3,5 av 6,1,FALSE,"Större rum än average SB, ser ut till allmän yta samt lite ut till utomhus"
Svea229B,Svea,"3,4",4,3,4,8,1,FALSE,"Swing swung, har soffa, utsikt mot Kårdelen. Update: de har tagit bort swing swung vilket är super sad, det drar ner på chargability och overall"
Svea229C,Svea,"3,4",3,3,4,9 av 8,1,FALSE,"Fönster mot innegården, finns ett par kontorsstolar, soffa, men saknar fin asthetic som de andra i Svea har, dålig chargability"
Curie,Bibliotek,"3,3",3,5,3,5,1,TRUE,"Våning 3, datorskärm med kabel som inte funkar (?), fönster går att öppna"
Gödel,Bibliotek,"3,3",4,5,4,5,1,FALSE,"Precis som Turing fast med ett vingligt bord: Inne i tysta lässalen i biblioteket, litet runt bord, liten whiteboard, man får inte prata för högt, något kallt, trångt om man är fler än 2 med dator"
EG-3207A/B,Edit,"3,3",4,5,3,12 av 4*2,1,FALSE,"Avdelat med något som ser ut som en bokhylla utan några hyllor, kanske ska minska ljudet och blockera sikten till andra halvan? who TF knows. wierd. Lamporna verkar inte funka -0.3"
M1215C,Maskin,"3,3",3,4,4,5 av 6,2,FALSE,"Fönster mot annat grupprum, och genom det ut i foajen, andra sidan in i det lunga hörnet av maskingrupprummen. Rummet bredvid det stora vertikala röret"
Musikrummet,Kårhus,"3,2",3,2,4,9.5 av 4,0,FALSE,"Inga fönster, sned tavla, men piano och en dyr jävla flygel"
M1203B,Maskin,"3,2",3,4,3,6,2,FALSE,"Minst två stolar är riktigt trash, fönster till annat grupprum. De har skrivit på bordet trots att det finns två whiteboards, are they stupid?"
M1203D,Maskin,"3,2",3,4,4,5 av 6,2,FALSE,Stelt med fönster till grupprummet bredvid
M1212C,Maskin,"3,2",3,4,3,7 av 6,1,FALSE,Bog standard maskinrum med fönster mot grupprum.
M1212E,Maskin,"3,2",3,4,3,5 av 6,2,FALSE,"Bog standard maskingrupprum med glasvägg mot annat grupprum, enormt mettaliskt eko mellan whiteboards"
M1222A,Maskin,"3,2",3,4,3,6,2,FALSE,"Många dåliga stolar, inga krokar, men ganska isolerat annars, fönster mot traffikerad korridor"
Yonath,Bibliotek,"3,1",3,3,3,4,1,TRUE,"Lite instängt, trasiga stolar, saknades en takplatta... ingen höjdare"
M1203E,Maskin,"3,1",3,4,4,3 av 6,1,FALSE,"Standard maskinrum, fönster in i annat grupprum stelt som vanligt, få stolar"
M1212B,Maskin,"3,1",3,4,4,4,2,FALSE,Subpar maskingrupprum med glasvägg mot annat grupprum
SB-G503,SB,"3,1",3,5,3,5 av 6,1,FALSE,Se andra SB med fönster mot korridoren
M1215D,Maskin,3,3,4,3,6 av 6,2,FALSE,"Lite subpar för att vara maskin, men fotölj och en airpod ingår"
SB-G303,SB,3,3,5,3,4 av 6,1,FALSE,"Precis som ett vanligt SB med fönster endast mot korridoren, ventilation tyst"
SB-G304,SB,3,3,5,3,5 av 6,1,FALSE,Precis som de andra i SB utan fönster ut (ventilationen var tyst). Några Pringles i hörnet
SB-G305,SB,3,3,5,3,5 av 6,1,FALSE,"Nähe, det här rummet var ju heller inge speciellt"
SB-G306,SB,3,3,5,3,4 av 6,1,FALSE,Precis som de andra i SB utan fönster ut (ventilationen var tyst)
SB-G505,SB,3,3,5,3,5 av 6,1,FALSE,"Inget ljud från ventilationen, dimbart ljus, fönster endast mot korridoren"
SB-G506,SB,3,3,5,3,4 av 6,1,FALSE,Lampan funkar inte! Vänta nu funkar den...
Vasa-G13,Vasa,"2,9",3,3,2,21 av 16,1,TRUE,"Vägg med fönster ut mot korridoren men finns tunt draperi att dra för. Finns projektor (som funkar), 21 stolar, några är okej fast de flesta är helt i trä, fast max 16 personer får vistas i rummet samtidigt. En stol är väldigt högljud. Dålig teckning till wi-fi"
M1203C,Maskin,"2,8",3,4,3,6,2,FALSE,"Ena lampan är trasig, väldigt trash stolar"
SB-G310,SB,"2,8",4,3,3,"8,5 av 6",0,FALSE,"Kortläsare, stökigt rum med trasig stol i hörnet (men vi kanske bara hade otur), stort fönster ut, ganska avskilt, notera att rummet inte är remarkable!"
